## Description,,,,,,,,,,,,,,,,,,,
## variable2000 : Top 2000 highly variable genes in Differentiation Atlas.,,,,,,,,,,,,,,,,,,,
## randomForestImportance : Association betweeb gene expression  with differentiation learned by randomforest,,,,,,,,,,,,,,,,,,,
## heatmapGeneCluster: Gene cluster grouped by K-means in Supplementary Figure 13a.,,,,,,,,,,,,,,,,,,,
"## gwasTrait: GWAS summary statistics mostly were downloaded from[ GWAS Catalog](https://www.ebi.ac.uk/gwas/).
We used the following data:
[EFO_0007620 ](https://www.ebi.ac.uk/gwas/efotraits/EFO_0007620): volumetric bone mineral density
[EFO_0003882](https://www.ebi.ac.uk/gwas/efotraits/EFO_0003882): osteoporosis
[EFO_0003923]([GWAS Catalog](https://www.ebi.ac.uk/gwas/efotraits/EFO_0003923)):bone density
[EFO_0003931](https://www.ebi.ac.uk/gwas/efotraits/EFO_0003931):bone fracture
[EFO_0007621](https://www.ebi.ac.uk/gwas/efotraits/EFO_0007621): bone-mineral_measure
At the same time, we combined the data provided by an important literature studying osteoporosis: 2019 Nature Genetics [An atlas of genetic influences on osteoporosis in humans and mice](https://www.nature.com/articles/s41588-018-0302-x), tagged as eBMD_2018",,,,,,,,,,,,,,,,,,,
"## archs_osteoblast,archs_K562,archs_stromal : Data mined from [archs](https://maayanlab.cloud/archs4/download.html). We download mouse osteoblast, stromal cells and K562 cell line, and calculate mean expression.",,,,,,,,,,,,,,,,,,,
## nc_known_gene : Genes was obtained from 2021 Nature Communications [Systems genetics in diversity outbred mice inform BMD GWAS and identify determinants of bone strength](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8184749/). The author constructed a list of bone genes using GO terms and the Mouse Genome Informatics (MGI) database.,,,,,,,,,,,,,,,,,,,
## ncBAN : Genes was obtained from 2021 Nature Communications [Systems genetics in diversity outbred mice inform BMD GWAS and identify determinants of bone strength](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8184749/).  BANs were defined as genes connected in our Bayesian networks with more genes in the “known bone gene” list than would be expected by chance,,,,,,,,,,,,,,,,,,,
## phylobone : Gene was obtained from 2023  [Phylobone: A comprehensive database of bone extracellular matrix proteins in human and model organisms](https://www.biorxiv.org/content/10.1101/2023.03.28.534628v2),,,,,,,,,,,,,,,,,,,
## youltenSignature : Signature genes during osteocyte differentiation collected in paper Osteocyte transcriptome mapping identifies a molecular landscape controlling skeletal homeostasis and susceptibility to skeletal disease,,,,,,,,,,,,,,,,,,,
"## human_skeletal_disorder_youlten : genes assoiciated with skeletal disorders, which is collected in paper Osteocyte transcriptome mapping identifies a molecular landscape controlling skeletal homeostasis and susceptibility to skeletal disease",,,,,,,,,,,,,,,,,,,
## Level 2-7 annotation : Marker genes in our Multi-level tree-base annotation system.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
gene,variable2000,randomForestImportance,heatmapGeneCluster,gwasTrait,archs_osteoblast,archs_K562,archs_stromal,nc_known_gene,ncBAN,phylobone,youltenSignature,human_skeletal_disorder_youlten,level7_annotation,level6_annotation,level5_annotation,level4_annotation,level3_annotation,level2_annotation,
0610009B22Rik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SED tarda, X-linked (SED-XL)",NA,NA,NA,NA,NA,NA,
1110004F10Rik,FALSE,NA,NA,eBMD_natGentic2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1190002N15Rik,TRUE,3.55E-05,GC_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
1200007C13Rik,TRUE,6.17E-06,GC_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
